 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,1056,4,0,37,0,37,0,9.25,18.5,0,0,0,0,35037.87879,3787.878788,352,477.1362489,902,49,1056,352,477.1362489,902,49,0,0,0,0,0,0,0,0,0,128,0,3787.878788,0,0,37,7.4,16.54690303,273.8,0,0,0,0,1,0,0,0,0,9.25,9.25,0,128,0,0,0,0,0,0,4,37,0,0,65535,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,12871140,10,8,1878,4151,1199,0,187.8,389.9136087,1460,0,518.875,614.6988665,468.4122774,1.398477524,757125.8824,2440066.188,9950164,28,12900000,1430126.667,3292561.79,9950164,25161,10400000,1486022.143,3766107.67,10000000,48,0,0,0,0,212,184,0.776931958,0.621545566,0,1460,317.3157895,505.8940439,255928.7836,0,0,0,1,0,0,0,0,0,334.9444444,187.8,518.875,212,0,0,0,0,0,0,10,1878,8,4151,8192,36,9,20,452355,0,452355,452355,9950164,0,9950164,9950164,BENIGN
443,56931,4,0,55,0,37,6,13.75,15.5,0,0,0,0,966.0817481,70.26049077,18977,32219.19926,56178,1,56931,18977,32219.19926,56178,1,0,0,0,0,0,0,0,0,0,80,0,70.26049077,0,6,37,12.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,15.25,13.75,0,80,0,0,0,0,0,0,4,55,0,0,65535,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
53,197,2,2,102,224,51,51,51,0,112,112,112,0,1654822.335,20304.56853,65.66666667,30.59956427,101,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,52,40,10152.28426,10152.28426,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,52,0,0,0,0,0,0,2,102,2,224,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,195,2,2,62,254,31,31,31,0,127,127,127,0,1620512.821,20512.82051,65,71.04224096,143,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,64,64,10256.41026,10256.41026,31,127,69.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,86.75,31,127,64,0,0,0,0,0,0,2,62,2,254,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,117431701,13,13,623,4286,201,0,47.92307692,65.60927467,1430,0,329.6923077,542.9150309,41.80302217,0.221405292,4697268.04,16200000,58900000,1,117000000,9785975.083,22700000,58900000,154,117000000,9778666.333,22800000,59000000,1,0,0,0,0,272,272,0.110702646,0.110702646,0,1430,181.8148148,398.9950874,159197.0798,0,0,0,1,0,0,0,0,1,188.8076923,47.92307692,329.6923077,272,0,0,0,0,0,0,13,623,13,4286,8192,351,12,20,215368.5,179109.4406,342018,88719,58500000,637031.7921,58900000,58000000,BENIGN
53,168,2,2,68,182,34,34,34,0,91,91,91,0,1488095.238,23809.52381,56,90.06664199,160,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,11904.7619,11904.7619,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71,34,91,64,0,0,0,0,0,0,2,68,2,182,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,47659,1,1,47,180,47,47,47,0,180,180,180,0,4763.00384,41.96479154,47659,0,47659,47659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,20.98239577,20.98239577,47,180,91.33333333,76.7875858,5896.333333,0,0,0,0,0,0,0,0,1,137,47,180,32,0,0,0,0,0,0,1,47,1,180,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,30698,1,1,48,113,48,48,48,0,113,113,113,0,5244.641345,65.15082416,30698,0,30698,30698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.57541208,32.57541208,48,113,69.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,104.5,48,113,20,0,0,0,0,0,0,1,48,1,113,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,24156,1,1,82,160,82,82,82,0,160,160,160,0,10018.21494,82.79516476,24156,0,24156,24156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,41.39758238,41.39758238,82,160,108,45.033321,2028,0,0,0,0,0,0,0,0,1,162,82,160,20,0,0,0,0,0,0,1,82,1,160,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
