Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,01/03/2018 05:30:04,86541,392,0,0,0,0,0,0,0,0,0,0,0,0,4529.644908,221.3324808,729.3002034,8524,65,86541,221.3324808,729.3002034,8524,65,0,0,0,0,0,0,0,0,0,0,0,4529.644908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
49165,6,01/03/2018 10:22:20,246,1,1,0,0,0,0,0,0,0,0,0,0,0,8130.081301,246,0,246,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4065.04065,4065.04065,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
53158,6,01/03/2018 05:11:44,86137238,2,0,0,0,0,0,0,0,0,0,0,0,0,0.023218762,86100000,0,86100000,86100000,86100000,86100000,0,86100000,86100000,0,0,0,0,0,0,0,0,0,40,0,0.023218762,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62611,-1,0,20,0,0,0,0,86100000,0,86100000,86100000,Benign
443,6,01/03/2018 05:09:23,110184122,17,18,1871,1579,1293,0,110.0588235,329.3771529,1051,0,87.72222222,257.8836504,31.31122649,0.317650124,3240709.471,4721548.693,10000000,1,110000000,6885195.063,4762926.209,10000000,111,110000000,6480193.824,4907227.926,10000000,1,0,0,0,0,352,492,0.154287203,0.163362921,0,1293,95.83333333,286.8650753,82291.57143,0,0,1,1,0,0,0,1,1,98.57142857,110.0588235,87.72222222,0,0,0,0,0,0,17,1871,18,1579,8192,1210,13,20,48490.72727,66330.44455,228818,20833,9966338.455,105181.8281,10000000,9659236,Benign
443,6,01/03/2018 08:16:53,117177531,19,19,2207,4401,1241,0,116.1578947,287.6582199,1410,0,231.6315789,427.5710741,56.39306396,0.324294254,3166960.297,13400000,58500000,1,117000000,6509862.833,18800000,58500000,37,117000000,6508613.111,18800000,58500000,1,0,0,0,0,428,392,0.162147127,0.162147127,0,1410,169.4358974,360.4199155,129902.5155,0,0,1,1,0,0,0,1,1,173.8947368,116.1578947,231.6315789,0,0,0,0,0,0,19,2207,19,4401,8192,133,8,20,287274.5,272420.6656,479905,94644,58300000,318015.618,58500000,58000000,Benign
3389,6,01/03/2018 10:18:44,1398900,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1939.380942,10.7227107,99921.42857,251967.9592,968901,56,1398900,199842.8571,384179.7663,1069289,56,1335070,222511.6667,365910.5166,968901,64437,0,0,0,0,168,148,5.718779041,5.003931661,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 11:21:12,788,1,1,35,117,35,35,35,0,117,117,117,0,192893.401,2538.071066,788,0,788,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1269.035533,1269.035533,35,117,62.33333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,93.5,35,117,0,0,0,0,0,0,1,35,1,117,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 09:30:37,645,1,1,22,54,22,22,22,0,54,54,54,0,117829.4574,3100.775194,645,0,645,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1550.387597,1550.387597,22,54,32.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,49,22,54,0,0,0,0,0,0,1,22,1,54,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3389,6,01/03/2018 10:09:52,4017882,13,7,1386,392,680,0,106.6153846,194.6845904,291,0,56,105.3976597,442.5217067,4.977746982,211467.4737,268885.6793,937525,38,4017882,334823.5,344455.4048,1182738,34260,3866332,644388.6667,367217.8325,1055324,169994,0,0,0,0,272,152,3.235535538,1.742211444,0,680,84.66666667,164.4172538,27033.03333,0,0,1,1,0,0,0,1,0,88.9,106.6153846,56,0,0,0,0,0,0,13,1386,7,392,8192,62652,7,20,0,0,0,0,0,0,0,0,Infilteration
52777,6,01/03/2018 04:31:37,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,50000,50000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,176,256,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 01:17:49,1129,1,1,38,90,38,38,38,0,90,90,90,0,113374.6678,1771.479185,1129,0,1129,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,885.7395926,885.7395926,38,90,55.33333333,30.022214,901.3333333,0,0,0,0,0,0,0,0,1,83,38,90,0,0,0,0,0,0,1,38,1,90,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3017,6,01/03/2018 02:40:05,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 05:14:31,90227912,10,16,948,2471,271,0,94.8,122.5559283,639,0,154.4375,232.4888438,37.89293052,0.288159167,3609116.48,12400000,45000000,0,90200000,10000000,19800000,45000000,98,90200000,6013982.667,15800000,45000000,0,1,0,0,0,200,320,0.110830449,0.177328718,0,639,136.6666667,194.7949612,37945.07692,0,1,0,0,1,0,0,0,1,141.9230769,94.8,154.4375,0,0,0,0,0,0,10,948,16,2471,258,343,5,20,106320.5,1102.379472,107100,105541,45000000,3119.048012,45000000,45000000,Benign
0,0,01/03/2018 09:11:05,60997571,2,0,0,0,0,0,0,0,0,0,0,0,0,0.032788191,61000000,0,61000000,61000000,61000000,61000000,0,61000000,61000000,0,0,0,0,0,0,0,0,0,0,0,0.032788191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,61000000,0,61000000,61000000,Benign
