dst_port,ip_prot,flow_duration,down_up_ratio,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,pkt_len_std,bytes_per_s,pkt_per_s,fwd_pkt_per_s,bwd_pkt_per_s,fwd_pkt_cnt,fwd_pkt_len_tot,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_hdr_len_tot,fwd_pkt_hdr_len_min,fwd_non_empty_pkt_cnt,bwd_pkt_cnt,bwd_pkt_len_tot,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_hdr_len_tot,bwd_pkt_hdr_len_min,bwd_non_empty_pkt_cnt,iat_max,iat_min,iat_mean,iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,flag_SYN,flag_fin,flag_rst,flag_ack,flag_psh,fwd_flag_psh,bwd_flag_psh,flag_urg,fwd_flag_urg,bwd_flag_urg,flag_cwr,flag_ece,fwd_bulk_bytes_mean,fwd_bulk_pkt_mean,fwd_bulk_rate_mean,bwd_bulk_bytes_mean,bwd_bulk_pkt_mean,bwd_bulk_rate_mean,fwd_subflow_bytes_mean,fwd_subflow_pkt_mean,bwd_subflow_bytes_mean,bwd_subflow_pkt_mean,fwd_tcp_init_win_bytes,bwd_tcp_init_win_bytes,label
53,17,927,1.0,67.0,35.0,51.0,512.0,22.627417,110032.36246,2157.497303,1078.748652,1078.748652,1,35,35.0,35.0,35.0,0.0,8,8,1,1,67,67.0,0.0,67.0,0.0,8,8,1,927.0,927.0,927.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,67.0,1.0,-1,-1,Benign
80,6,25838,1.333333,935.0,0.0,184.428571,127143.952381,356.572506,49965.167583,270.918802,116.108058,154.810744,3,356,356.0,0.0,118.666667,205.536696,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,11010.0,3.0,4306.333333,5170.056118,14775,10090.0,4685.0,7387.5,3821.912152,25831,14771.0,50.0,8610.333333,7648.25211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,3.0,935.0,4.0,26883,26847,DoS Hulk
80,6,115093176,0.875,788.0,0.0,41.166667,26214.143678,161.907825,10.730436,0.260658,0.139018,0.121641,16,447,436.0,0.0,27.9375,108.817565,332,20,12,14,788,788.0,0.0,56.285714,210.601859,424,20,1,10019790.0,33.0,3968730.206897,4874882.332139,115093176,10031098.0,307.0,7672878.4,4153018.837922,110202283,10031071.0,682.0,8477098.692308,3759526.264869,172736.0,11281.0,26009.0,48663.852815,10019790.0,9859248.0,9992390.272727,44407.224442,2,1,0,29,2,1,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,34.384615,1.230769,60.615385,1.076923,8192,65535,Benign
443,6,11710,1.0,0.0,0.0,0.0,0.0,0.0,0.0,170.794193,85.397096,85.397096,1,0,0.0,0.0,0.0,0.0,28,28,0,1,0,0.0,0.0,0.0,0.0,20,20,0,11710.0,11710.0,11710.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8192,0,Benign
53,17,18853,1.0,119.0,53.0,86.0,2178.0,46.669048,9123.216464,106.083912,53.041956,53.041956,1,53,53.0,53.0,53.0,0.0,8,8,1,1,119,119.0,0.0,119.0,0.0,8,8,1,18853.0,18853.0,18853.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,119.0,1.0,-1,-1,Benign
3389,6,5365594,1.25,1173.0,0.0,151.611111,93075.428105,305.082658,508.610976,3.354708,1.490981,1.863727,8,1148,677.0,0.0,143.5,228.129662,172,20,5,10,1581,1173.0,0.0,158.1,367.730714,212,20,5,1426705.0,48.0,315623.176471,394919.798522,5365594,1735991.0,317.0,766513.428571,640429.374682,5153899,1426705.0,227192.0,572655.444444,408626.520257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,17,10,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,4.0,790.5,5.0,64240,64000,Benign
445,6,174044,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,22.982694,17.237021,5.745674,3,0,0.0,0.0,0.0,0.0,72,20,0,1,0,0.0,0.0,0.0,0.0,32,32,0,173932.0,2.0,58014.666667,100387.369929,174044,174042.0,2.0,87022.0,123064.864198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8192,8192,Benign
3389,6,149934,0.666667,41.0,0.0,8.2,336.2,18.335757,273.453653,33.348006,20.008804,13.339203,3,41,41.0,0.0,13.666667,23.671361,72,20,1,2,0,0.0,0.0,0.0,0.0,52,20,0,147584.0,4.0,37483.5,73407.728065,147678,147674.0,4.0,73839.0,104418.458378,149844,149844.0,149844.0,149844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,4,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,0.0,2.0,8192,64000,Benign
445,6,623086,0.8,131.0,0.0,50.666667,2869.5,53.567714,731.84119,14.444234,8.024574,6.41966,5,286,103.0,0.0,57.2,52.485236,112,20,3,4,170,131.0,0.0,42.5,61.798058,92,20,2,207701.0,70.0,77885.75,107260.010788,623011,208070.0,183.0,155752.75,103713.722202,623016,207978.0,207191.0,207672.0,421.676416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,8,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,5.0,170.0,4.0,8192,8192,Benign
8080,6,10870,1.333333,326.0,0.0,65.0,14922.333333,122.157003,41858.325667,643.974241,275.98896,367.985281,3,326,326.0,0.0,108.666667,188.216188,72,20,1,4,129,112.0,0.0,32.25,53.767245,92,20,2,9835.0,1.0,1811.666667,3937.699768,644,602.0,42.0,322.0,395.979797,10288,9835.0,1.0,3429.333333,5552.051363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,3,1,2,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,326.0,3.0,129.0,4.0,8192,26883,Bot
